wave,flux,model,residual,CO2_model
9.693804130048736,-2.337701854580182e-05,0.0,-2.337701854580182e-05,0.0
9.69510421154884,-0.00010972428028999809,0.0,-0.00010972428028999809,0.0
9.69640428214519,-0.00013950134140508497,0.0,-0.00013950134140508497,0.0
9.697704341786759,-1.0974505390858036e-05,0.0,-1.0974505390858036e-05,0.0
9.699004390422509,-0.0001798486812768299,0.0,-0.0001798486812768299,0.0
9.700304428001406,5.1408041892971046e-05,0.0,5.1408041892971046e-05,0.0
9.70160445447242,-9.303166635845489e-05,0.0,-9.303166635845489e-05,0.0
9.702904469784512,-0.0002485825199593644,0.0,-0.0002485825199593644,0.0
9.704204473886652,-0.00018388673031524,0.0,-0.00018388673031524,0.0
9.705504466727803,-4.036713110900508e-05,0.0,-4.036713110900508e-05,0.0
9.706804448256937,1.6321326173011907e-05,0.0,1.6321326173011907e-05,0.0
9.708104418423014,3.164643676404483e-05,0.0,3.164643676404483e-05,0.0
9.709404377175005,-9.587483769980809e-06,0.0,-9.587483769980809e-06,0.0
9.710704324461874,-4.440526226498487e-05,0.0,-4.440526226498487e-05,0.0
9.712004260232588,-0.00015018960321142721,0.0,-0.00015018960321142721,0.0
9.71330418443611,-0.00012486893244527397,0.0,-0.00012486893244527397,0.0
9.71460409702141,-5.1602980816037314e-05,0.0,-5.1602980816037314e-05,0.0
9.715903997937453,-0.0003705192032254917,0.0,-0.0003705192032254917,0.0
9.717203887133207,-0.0003603284446739574,0.0,-0.0003603284446739574,0.0
9.718503764557635,-7.169479623019698e-05,0.0,-7.169479623019698e-05,0.0
9.719803630159706,-8.59916386413348e-05,0.0,-8.59916386413348e-05,0.0
9.721103483888387,1.2330765954221556e-05,0.0,1.2330765954221556e-05,0.0
9.722403325692639,0.00014704836006707023,0.0,0.00014704836006707023,0.0
9.723703155521436,0.00020658731164641814,0.0,0.00020658731164641814,0.0
9.725002973323738,9.890167211029643e-05,0.0,9.890167211029643e-05,0.0
9.726302779048513,-3.087926931610169e-05,0.0,-3.087926931610169e-05,0.0
9.727602572644729,-0.00015260303470368553,0.0,-0.00015260303470368553,0.0
9.728902354061349,-9.918562326759195e-05,0.0,-9.918562326759195e-05,0.0
9.730202123247341,-5.205630862580024e-05,0.0,-5.205630862580024e-05,0.0
9.731501880151672,-9.586100985582019e-05,0.0,-9.586100985582019e-05,0.0
9.73280162472331,-0.00020140907250490447,0.0,-0.00020140907250490447,0.0
9.734101356911218,-0.00010888562621359094,0.0,-0.00010888562621359094,0.0
9.735401076664361,2.8055008605608334e-05,0.0,2.8055008605608334e-05,0.0
9.73670078393171,0.00013692553943991936,0.0,0.00013692553943991936,0.0
9.738000478662226,8.967104119704528e-06,0.0,8.967104119704528e-06,0.0
9.739300160804879,-6.460109797969821e-05,0.0,-6.460109797969821e-05,0.0
9.740599830308636,-0.00015690624579300927,0.0,-0.00015690624579300927,0.0
9.74189948712246,-0.0002464982214025399,0.0,-0.0002464982214025399,0.0
9.743199131195318,-0.00022275250484032894,0.0,-0.00022275250484032894,0.0
9.744498762476178,-5.65623668934076e-05,0.0,-5.65623668934076e-05,0.0
