wave,flux,model,residual,H2O_warm_model,H2O_hot_model
4.900367319643593,0.001494903545802749,0.0,0.001494903545802749,0.0,0.0
4.901169488813213,0.0020405617366935982,0.0,0.0020405617366935982,0.0,0.0
4.901971647588897,0.0016541771445569148,0.0,0.0016541771445569148,0.0,0.0
4.90277379599116,0.0012107967634725977,0.0,0.0012107967634725977,0.0,0.0
4.903575934040517,0.0019665953045521697,0.0,0.0019665953045521697,0.0,0.0
4.904378061757484,0.0006519987236386568,0.0,0.0006519987236386568,0.0,0.0
4.905180179162579,-0.000955382895223171,0.0,-0.000955382895223171,0.0,0.0
4.905982286276314,3.0862028860788315e-05,0.0,3.0862028860788315e-05,0.0,0.0
4.9067843831192075,0.0013285128391012022,0.0,0.0013285128391012022,0.0,0.0
4.9075864697117755,0.00046659486629580665,0.0,0.00046659486629580665,0.0,0.0
4.908388546074532,-0.0006244923934489721,0.0,-0.0006244923934489721,0.0,0.0
4.909190612227995,-0.0004873280787413281,0.0,-0.0004873280787413281,0.0,0.0
4.909992668192679,0.0015541909719813188,0.0,0.0015541909719813188,0.0,0.0
4.9107947139891,0.001355260830615948,0.0,0.001355260830615948,0.0,0.0
4.9115967496377735,0.001947204183126286,0.0,0.001947204183126286,0.0,0.0
4.912398775159216,0.0013069462187093733,0.0,0.0013069462187093733,0.0,0.0
4.913200790573944,0.0012688361620040237,0.0,0.0012688361620040237,0.0,0.0
4.914002795902471,0.001040873081680535,0.0,0.001040873081680535,0.0,0.0
4.9148047911653165,0.0003528446576257782,0.0,0.0003528446576257782,0.0,0.0
4.915606776382992,-0.0014891410775805247,0.0,-0.0014891410775805247,0.0,0.0
4.916408751576017,-0.00017681132980192082,0.0,-0.00017681132980192082,0.0,0.0
4.917210716764905,0.0009483854224298927,0.0,0.0009483854224298927,0.0,0.0
4.918012671970173,0.000910487978811679,0.0,0.000910487978811679,0.0,0.0
4.918814617212337,-0.00014345816187798927,0.0,-0.00014345816187798927,0.0,0.0
4.91961655251191,-0.0002520723557800711,0.0,-0.0002520723557800711,0.0,0.0
4.920418477889413,-0.001061860717786578,0.0,-0.001061860717786578,0.0,0.0
4.921220393365358,0.0015351147105325605,0.0,0.0015351147105325605,0.0,0.0
4.922022298960261,0.001673188339259668,0.0,0.001673188339259668,0.0,0.0
4.92282419469464,0.0014445260102815896,0.0,0.0014445260102815896,0.0,0.0
4.923626080589009,0.0014035375326231225,0.0,0.0014035375326231225,0.0,0.0
4.924427956663884,0.0006764104235953972,0.0,0.0006764104235953972,0.0,0.0
4.925229822939782,-0.0008352891487362485,0.0,-0.0008352891487362485,0.0,0.0
4.926031679437218,-0.0015867532717223909,0.0,-0.0015867532717223909,0.0,0.0
4.926833526176708,-0.0019850167179030695,0.0,-0.0019850167179030695,0.0,0.0
4.927635363178767,-0.002235527753823463,0.0,-0.002235527753823463,0.0,0.0
4.928437190463912,-0.0014896751334726593,0.0,-0.0014896751334726593,0.0,0.0
4.929239008052658,0.0002943414039053502,0.0,0.0002943414039053502,0.0,0.0
4.930040815965522,0.0008548605428768605,0.0,0.0008548605428768605,0.0,0.0
4.930842614223019,0.0005273269180763387,0.0,0.0005273269180763387,0.0,0.0
4.931644402845664,-0.0016125781189747501,0.0,-0.0016125781189747501,0.0,0.0
4.932446181853974,-0.0006525503270240762,0.0,-0.0006525503270240762,0.0,0.0
4.9332479512684655,-0.00024367589092873232,0.0,-0.00024367589092873232,0.0,0.0
4.934049711109653,-0.0012275033523347217,0.0,-0.0012275033523347217,0.0,0.0
4.934851461398052,-0.001236556876145621,0.0,-0.001236556876145621,0.0,0.0
4.93565320215418,-0.0009698829508511045,0.0,-0.0009698829508511045,0.0,0.0
4.936454933398553,-0.0013331396726987965,0.0,-0.0013331396726987965,0.0,0.0
4.937256655151684,-0.002048217339918605,0.0,-0.002048217339918605,0.0,0.0
4.938058367434091,-0.002686732353909614,0.0,-0.002686732353909614,0.0,0.0
4.93886007026629,-0.0004462732416322737,0.0,-0.0004462732416322737,0.0,0.0
