component,model_mol,T,T_minus,T_plus,logN,logN_minus,logN_plus,A,log10A,log10A_minus,log10A_plus
C2H2,C2H2,291.14022869616747,16.73671743432294,5.516860714694815,16.616842184215784,0.04802356660569629,0.5917457985242223,0.521000178836979,-0.2831621276258118,0.04781719069010071,0.0551310271570406
HCN,HCN,225.061350222677,5.040043226842329,61.48233835135201,17.43124628532678,0.8342750912082089,0.14865581337850386,1.301087242482112,0.11430641851258345,0.4018280910448788,0.010503084119162884
13C12CH2,13C12CH2,423.1397258117795,106.53064954554941,3.570496399165961,16.57350982632488,0.13574841237513624,0.6490416679742523,0.07693109568114709,-1.1138980821354036,0.08786365913107597,0.33163778874093364
