rank,mse_loss,H2O_warm_T,H2O_warm_logN,H2O_warm_log10A,H2O_hot_T,H2O_hot_logN,H2O_hot_log10A
1,0.18075694082788474,443.3534858748317,16.225427282974124,1.744836850240204,748.4209708869457,17.957610256038606,0.2658879293894151
2,0.18173773426373288,622.6959666237235,17.45837305765599,0.6662212596569564,1248.8597393035889,18.24165781121701,-0.8268938600046045
3,0.18235464165297458,451.8610863946378,17.340231934562325,0.8888793748673478,769.8061919771135,17.860591701231897,0.2273210074237833
4,0.18246239787710042,527.4967526085675,16.901638317853212,1.1010039889787302,791.2086177617311,18.533731206320226,-0.11727620082845042
5,0.1825752797462351,558.3161864429712,17.731082477606833,0.7226805876273311,1179.7358942218125,18.182634316384792,-0.6853565949370277
6,0.1826675948254906,524.2684147320688,16.83698162995279,1.0491349286453788,769.0110357478261,18.16889336425811,0.10382352003009823
7,0.18303813436159733,526.3471083715558,16.87698358547372,1.0182412614988945,706.2549765221775,18.371781526133418,0.14443014568256457
8,0.18337779441416535,562.4921788461506,17.19001785479486,0.904745525247024,1091.0740870982409,18.254667670466006,-0.5132951936989517
9,0.18389957434774723,495.09375132620335,16.917528338730335,1.2051051413693274,937.1631709858775,18.30852623656392,-0.26605244856659793
10,0.18422255802962037,621.0402755066752,17.40036333538592,0.6966193793211689,924.380050227046,18.93674682918936,-0.6842089683837339
11,0.18455579150871773,390.60998000204563,16.951428052103147,1.3446024743922427,757.8557081520557,17.940038792788982,0.26821460724811574
12,0.18461119396533182,602.9954000376165,17.468624050728977,0.6957218873421107,920.7557810470462,18.60477399174124,-0.557331978275354
13,0.1847187664378117,595.7550019957125,15.514349915641464,1.8810032760643447,649.0573428571224,18.328123056329787,0.3423495510884337
14,0.1848569260837302,506.53359666466713,16.39326262664647,1.3129486931824357,764.0449919737875,17.81150516681373,0.26207952743748253
15,0.18491897861405363,441.27898840233684,16.153164738200214,1.8607023411318,810.6351693160832,17.750487584620714,0.21515144385181878
16,0.1850206503611296,542.2075469978154,17.35876468662078,0.8046116204938494,866.223861835897,18.449482690542936,-0.27955689308164516
17,0.18518532981008173,542.4668928608298,15.762972171318182,1.8000111933424723,783.3808649331331,17.852253770455718,0.21587439629526675
18,0.18538450085955835,561.5275921300054,17.649345482699573,0.752231593645382,1205.3578763268888,18.59874109365046,-0.8466465179949365
19,0.18554585115300154,593.2802008464932,17.270602710545063,0.7967179057190087,1164.6967589855194,18.067150428891182,-0.5844206103883308
20,0.1856115541948947,459.52994218096137,16.544364519417286,1.4864779610820376,732.9728251323104,18.276120122522116,0.16209585037896337
