wave,flux,model,residual,C2H2_model,HCN_model,13C12CH2_model
23.711126188609285,0.0005132031206837445,0.0,0.0005132031206837445,0.0,0.0,0.0
23.717128571964633,0.0005840249564757413,0.0,0.0005840249564757413,0.0,0.0,0.0
23.723131028579253,-0.0002932588285764204,0.0,-0.0002932588285764204,0.0,0.0,0.0
23.729133558852737,-0.000542461869317945,0.0,-0.000542461869317945,0.0,0.0,0.0
23.735136163184702,0.0005146945637695688,0.0,0.0005146945637695688,0.0,0.0,0.0
23.741138841974756,0.0016915426036047954,0.0,0.0016915426036047954,0.0,0.0,0.0
23.7471415956225,0.0009644703567722804,0.0,0.0009644703567722804,0.0,0.0,0.0
23.75314442452755,0.001327054542348674,0.0,0.001327054542348674,0.0,0.0,0.0
23.75914732908951,0.0009057676415198945,0.0,0.0009057676415198945,0.0,0.0,0.0
23.765150309707984,0.0010967603338874962,0.0,0.0010967603338874962,0.0,0.0,0.0
23.77115336678258,0.001986578630987182,0.0,0.001986578630987182,0.0,0.0,0.0
23.777156500712916,0.0020979264582302176,0.0,0.0020979264582302176,0.0,0.0,0.0
23.78315971189859,0.0011264003788525045,0.0,0.0011264003788525045,0.0,0.0,0.0
23.78916300073921,0.00010441137055935967,0.0,0.00010441137055935967,0.0,0.0,0.0
23.795166367634387,0.0017365221820047141,0.0,0.0017365221820047141,0.0,0.0,0.0
23.801169812983723,0.000583042333420665,0.0,0.000583042333420665,0.0,0.0,0.0
23.80717333718683,0.0009704556829777181,0.0,0.0009704556829777181,0.0,0.0,0.0
23.813176940643316,0.00139939481937814,0.0,0.00139939481937814,0.0,0.0,0.0
23.81918062375279,0.0023983426334993896,0.0,0.0023983426334993896,0.0,0.0,0.0
23.825184386914856,0.0004999575103047452,0.0,0.0004999575103047452,0.0,0.0,0.0
23.83118823052912,0.0008644868240370793,0.0,0.0008644868240370793,0.0,0.0,0.0
23.837192154995194,0.000418203186524059,0.0,0.000418203186524059,0.0,0.0,0.0
23.843196160712683,-0.00019578936983435588,0.0,-0.00019578936983435588,0.0,0.0,0.0
23.849200248081193,0.0007237931700440139,0.0,0.0007237931700440139,0.0,0.0,0.0
23.855204417500335,0.0017031813798908668,0.0,0.0017031813798908668,0.0,0.0,0.0
23.86120866936972,0.001311980972847071,0.0,0.001311980972847071,0.0,0.0,0.0
