rank,mse_loss,H2O_warm_T,H2O_warm_logN,H2O_warm_log10A,H2O_hot_T,H2O_hot_logN,H2O_hot_log10A
1,7.736356838171817e-05,417.08384342491627,18.997282894328237,-1.2239509937407866,877.897169161588,17.838032744824886,-1.9554958588639273
2,7.787926490494781e-05,379.04750127345324,18.626433355733752,-1.0385976330304292,954.9451334401965,17.592545921133638,-1.8957561270147796
3,7.794235720248702e-05,458.33360021933913,18.085432938300073,-1.209814586088479,820.5469839274883,18.20857224613428,-1.9082174516074564
4,7.80795254317032e-05,432.7285339124501,18.31457496713847,-1.1958616403678692,905.6754289194942,17.759873454123753,-1.8961071343008205
5,7.808055672891499e-05,391.7661336250603,18.355127993039787,-1.069816986506112,870.5119050107896,18.033739256048236,-1.8908943224376427
6,7.816180488738931e-05,371.1968242190778,18.880397114902735,-1.1388788603195756,793.2483319193125,17.816106114536524,-1.719822570196617
7,7.819371786361004e-05,384.2005234211683,18.540330967865884,-1.0468117193069018,840.8226630650461,18.28542775567621,-1.964162455937206
8,7.823862860276532e-05,438.0989392288029,18.80890568345785,-1.2940409414108909,777.6657725684345,18.268814767710865,-1.9314725147477105
9,7.837101432341746e-05,405.0221499055624,18.967101733200252,-1.2887291008611488,746.472068503499,18.060003920458257,-1.7370079124141664
10,7.841651803561865e-05,475.0310276634991,17.561648563481867,-1.1131601095310175,829.3567289598286,18.230358814820647,-1.916055059095474
11,7.842253870432394e-05,524.5894799008965,18.33394794818014,-1.4465048138450383,860.4307019151747,18.106502393260598,-1.999999991159195
12,7.854181427201523e-05,357.41700725629926,18.94695891160518,-0.9600839986567606,958.430337999016,17.435494862496853,-1.8780139618627452
13,7.854568435308084e-05,482.46827982366085,18.066049228422344,-1.2318134523777997,947.1626031212509,17.86195357888937,-1.9999989502670765
14,7.857652706521188e-05,509.80721954256296,18.424002491869032,-1.4141954652797373,797.9375905357301,18.25174488220364,-1.9999984273503912
15,7.867770803567964e-05,377.47939489781857,18.20048820320517,-1.088659611667494,783.1711539067328,18.07418804243207,-1.7365794252747548
16,7.880880033546761e-05,469.8419979773462,17.839990431442857,-1.1903935730324475,890.6361727975309,17.87902525253594,-1.9009688168784322
17,7.887528317429188e-05,381.42340052872896,18.135147146880627,-0.9514988548753922,1012.7980913966894,17.674235977232456,-1.9672453457507546
18,7.889200755233256e-05,325.0424427911639,18.046550854109228,-0.9171188319531947,740.0183401070535,17.96769085433334,-1.5935162942990049
19,7.894652467966187e-05,456.854909285903,18.819305851124227,-1.3451424573973931,831.6990783438087,17.74983019195497,-1.887582264661252
20,7.898297497701282e-05,477.0225924439728,18.47653471492231,-1.4524969852084681,741.766010876745,18.1611694265157,-1.7772128607379383
