component,model_mol,T,T_minus,T_plus,logN,logN_minus,logN_plus,A,log10A,log10A_minus,log10A_plus
H2O_warm,H2O,417.08384342491627,32.55145356370588,51.20614675976822,18.997282894328237,0.4679351249663313,0.42821744424014696,0.0597102660492725,-1.2239509937407866,0.07882928526768729,0.1648717534515547
H2O_hot,H2O,877.897169161588,81.1602918455983,52.142149718403175,17.838032744824886,0.08745501839571901,0.3764950266087794,0.011079091295899974,-1.9554958588639273,0.050748514985445636,0.033323933865722966
