wave,flux,err,cont
4.900275847827764,0.060163064278366374,0.0022353515828258913,1.0911793906883347
4.90107800202384,0.004853828338817756,0.0022353515828258913,1.091179076002102
4.901880145826173,0.0023982741852668354,0.003173037440473289,1.0911781319000837
4.902682279255278,0.0035930157517785055,0.003240665443597237,1.091176558252322
4.903484402331671,0.004274974411601518,0.003458179199910428,1.0911743548422184
4.904286515075867,0.033900241071020965,0.003847364663378499,1.0911715213665383
4.905088617508382,0.12809048039281534,0.004539634038732976,1.0911680574354061
4.905890709649732,0.1720078346524656,0.004606032767174482,1.0911539392817948
4.90669279152043,0.08614715514096005,0.004652813035452464,1.0911289464596494
4.907494863140995,0.07515337421316914,0.004788316168950585,1.0910928574682064
4.908296924531939,0.21373435786320094,0.005155617117361489,1.0910014263089718
4.90909897571378,0.4348500196019718,0.005245794044084216,1.090927452918521
4.909901016707032,0.41103750018339147,0.005470955497609483,1.0909216526985022
4.910703047532211,0.1085220977363639,0.005470955497609483,1.090918630112988
4.911505068209832,0.0069523843611525304,0.005470955497609483,1.0909184080520777
4.912307078760411,-0.003717325029546359,0.006329517693967304,1.0909210096452344
4.913109079204464,0.0038422596286391553,0.006329517693967304,1.09092460695302
4.913911069562505,0.012053615756902225,0.0065717687741354254,1.090929182970682
4.91471304985505,0.02306556441234653,0.007022558060622413,1.0909347207540199
4.915515020102616,0.1410577013372014,0.007213237569234103,1.0909519161298673
4.916316980325715,0.20638159484394913,0.007291558725321089,1.0909805141427629
4.917118930544866,0.16140197416408686,0.007765300260873486,1.0910015840257519
4.917920870780583,0.06782739286761319,0.007765300260873486,1.0910152882272905
4.918722801053382,0.06561121009478654,0.007765300260873486,1.0910217884701336
4.919524721383777,0.13173075516918797,0.007765300260873486,1.0910286511821692
4.9203266317922845,0.4120409464162813,0.007804509538129153,1.0910358720207394
4.92112853229942,0.31143756909641107,0.007804509538129153,1.0910508520306654
4.921930422925699,0.12943058783857064,0.007765300260873486,1.0911098120936433
4.922732303691636,0.02598402290276569,0.007765300260873486,1.091127894359483
4.923534174617748,0.0032489574388379072,0.007550184227774626,1.0911320875424106
4.92433603572455,0.0274651612109027,0.007550184227774626,1.091122426805904
4.925137887032556,0.0700712956379399,0.007759069476933882,1.0911067239901449
4.925939728562283,0.12652497350625613,0.007759069476933882,1.0911085011073767
4.926741560334246,0.17582724120901516,0.007759069476933882,1.0911118480069373
4.927543382368961,0.19584689278325418,0.007762797624322801,1.0911167871036291
4.928345194686943,0.11621560424419619,0.007759069476933882,1.091123340929969
4.929146997308707,0.05197797578764063,0.007550184227774626,1.0911315321361816
4.92994879025477,0.03937121752792749,0.007291558725321089,1.091125095023963
4.9307505735456445,0.11847745562321843,0.007550184227774626,1.0911036951431743
4.9315523472018485,0.2943065886164997,0.007759069476933882,1.0910669965879407
4.932354111243897,0.4399806532281496,0.007759069476933882,1.0910192014657734
4.933155865692305,0.1875398887094175,0.007550184227774626,1.0910215628520832
4.933957610567588,0.05322794724303148,0.007291558725321089,1.0910370806325578
4.934759345890262,0.029967712737621,0.007291558725321089,1.091053390355394
4.935561071680842,0.06701238727332326,0.007291558725321089,1.0910704935793405
4.936362787959842,0.1166167208414921,0.007291558725321089,1.0910883918835261
4.9371644947477815,0.12602695958598953,0.007022558060622413,1.0911070868674602
4.937966192065172,0.20463623579436074,0.0065717687741354254,1.091126580151031
4.93876787993253,0.1518870559964809,0.00657155715610148,1.0911468733745049
4.939569558370373,0.03909835486940949,0.006524833403783023,1.0911679681985293
4.940371227399213,-0.0003451188685983375,0.00574489072148214,1.0911898663041313
4.941172887039568,0.0031887344448755517,0.005719829571894463,1.0912125693927153
4.941974537311952,0.050500653196180245,0.005719829571894463,1.091236079186068
4.942776178236882,0.2333537739032283,0.005719829571894463,1.0912603974263535
4.943577809834872,0.43879172736157424,0.005719829571894463,1.0912855258761178
4.944379432126439,0.2809427735508696,0.005719829571894463,1.091311466318285
4.945181045132097,0.07415538694708523,0.005496136745038916,1.0913382205561575
4.945982648872362,0.03319808844172378,0.005496136745038916,1.0913657904134215
4.94678424336775,0.062037464870160264,0.005496136745038916,1.0913941777341407
4.9475858286387755,0.08001202248859873,0.005719829571894463,1.091423384382757
4.948387404705954,0.1288842904970573,0.005719829571894463,1.0914534122440953
4.949188971589802,0.18618965411775235,0.005384989550356101,1.0914842632233586
4.949990529310833,0.11619353492740614,0.005384989550356101,1.0915159392461304
4.950792077889565,0.040863639703452526,0.005384989550356101,1.0915484422583746
4.951593617346512,0.020618449776638847,0.005053864525777072,1.091581774226434
4.952395147702189,0.039098951823421046,0.00468596577652862,1.091615937137033
4.953196668977113,0.07214394511817401,0.005053864525777072,1.0916509329972754
4.953998181191798,0.16407695144168644,0.005384989550356101,1.091686763834646
4.954799684366759,0.4398243934975683,0.005384989550356101,1.0917236477304562
4.955601178522514,0.4170888538120294,0.005384989550356101,1.0917615819510258
4.956402663679576,0.18669807655352377,0.005384989550356101,1.0918005638043737
4.957204139858462,0.10779793698021067,0.005053864525777072,1.09184059064022
4.958005607079686,0.19190002214120772,0.005053864525777072,1.091881659849988
4.958807065363765,0.21830964097866823,0.005053864525777072,1.0919237688668006
4.9596085147312134,0.1690396444212523,0.005384989550356101,1.091967481061656
4.960409955202548,0.18459348322739744,0.005771073432797821,1.0920127813725973
4.961211386798282,0.12814651273394984,0.005771073432797821,1.092059543609111
4.962012809538932,0.030930921362289254,0.005784670999222033,1.0921077504641483
4.962814223445014,0.005858988881445981,0.005784670999222033,1.0921573847174624
4.963615628537044,0.009703472993947138,0.005784670999222033,1.0922084292356076
4.964417024835535,0.00875864985953867,0.005784670999222033,1.0922608669719325
4.965218412361004,0.05531515922676711,0.005784670999222033,1.0923146809665893
4.966019791133967,0.17963282571620254,0.005884994791268474,1.092373815536606
4.966821161174939,0.38594200831392933,0.005884994791268474,1.0924381658490003
4.967622522504435,0.4323410489626145,0.005884994791268474,1.0925076275484944
4.96842387514297,0.2143047390989521,0.005884994791268474,1.0925820967575133
4.9692252191110615,0.14438808379533197,0.005784670999222033,1.092661470076181
4.970026554429223,0.11992745074576283,0.005884994791268474,1.0927456445823156
4.9708278811179705,0.11393715420425687,0.005884994791268474,1.09283451783142
4.971629199197819,0.14735699737195906,0.005884994791268474,1.092927987856681
4.9724305086892855,0.1385338603734525,0.005884994791268474,1.0929989467293784
4.9732318096128845,0.039081962746357,0.005884994791268474,1.093056154557294
4.974033101989131,0.011704960781304008,0.005884994791268474,1.0931132652013218
4.974834385838541,-0.0026612121739690853,0.0068715562044115615,1.0931702942334423
4.97563566118163,-0.005748353903892722,0.0068715562044115615,1.0932272571699309
4.976436928038913,-0.0013756033800829126,0.0068715562044115615,1.0932841694713562
4.977238186430906,0.02804774341252525,0.0068715562044115615,1.0933410465425817
4.978039436378125,0.15837698170983194,0.005884994791268474,1.0933987725259877
4.978840677901084,0.44096236307896763,0.005884994791268474,1.0934573434043988
4.979641911020298,0.336073754651145,0.005884994791268474,1.093516755190664
4.9804431357562855,0.16851426940398295,0.005884994791268474,1.0935770039276587
4.981244352129559,0.09939832839302998,0.005884994791268474,1.0936380856882848
4.982045560160635,0.06690103446605944,0.0068715562044115615,1.093699996575468
4.9828467598700295,0.12313234846638577,0.0068715562044115615,1.093762732722161
4.9836479512782565,0.13328862133184627,0.0068715562044115615,1.0938262902913407
4.984449134405833,0.03862313502203607,0.0068715562044115615,1.0938906654760066
4.985250309273274,-0.020790813885979365,0.005784670999222033,1.0939558544991836
4.986051475901094,0.00023658175444518648,0.005784670999222033,1.0940218536139217
4.98685263430981,0.00045095638969505636,0.0068715562044115615,1.0940886591032941
4.987653784519937,-0.00806319873640926,0.0068715562044115615,1.094156441034298
4.988454926551989,0.0074073273828969555,0.0068715562044115615,1.0942251918880859
4.9892560604264835,0.07464834738688819,0.0068715562044115615,1.094294904192975
4.990057186163934,0.22105641939899034,0.0068715562044115615,1.0943655705244517
4.990858303784858,0.4199840233545966,0.0068715562044115615,1.0944371835051647
4.99165941330977,0.3459529123015632,0.0068715562044115615,1.0945124543412972
4.992460514759185,0.0936659739599448,0.0068715562044115615,1.094591281952065
4.9932616081536185,0.015985600241805953,0.005847899493364198,1.0946732945087791
4.9940626935135874,0.0863132123048429,0.005847899493364198,1.094758417536861
4.994863770859605,0.1530405647662587,0.005847899493364198,1.0947949160265902
4.995664840212189,0.1376972403944836,0.005338606311239986,1.0948298570971682
4.996465901591852,0.07927672728499191,0.005057218218757399,1.094863087834328
4.9972669550191124,0.03865495640301386,0.004807926345738284,1.0948624256463744
4.998068000514484,0.019063233178818084,0.004807926345738284,1.0948648759312531
4.9988690380984835,0.017143633386184076,0.004807926345738284,1.0948705705884996
4.999670067791625,0.029421102814279232,0.004777878651654199,1.094879642029354
5.000471089614424,0.05998913575753395,0.004777878651654199,1.094892223176772
5.0012721035873975,0.09200563074357526,0.004807926345738284,1.094900414832285
5.002073109731059,0.16229087813264287,0.004807926345738284,1.0949360299953474
5.002874108065925,0.37186719605511454,0.005057218218757399,1.0949511746819987
5.003675098612511,0.380252373101605,0.005057218218757399,1.0949753928409276
5.004476081391332,0.14213377724715004,0.005057218218757399,1.0950087116415086
5.005277056422904,0.03305131167389841,0.005057218218757399,1.0950511592419045
5.006078023727742,0.07865912389883412,0.004807926345738284,1.095102764789078
5.006878983326362,0.1286775803643243,0.004807926345738284,1.0951430231398862
5.0076799352392785,0.06548282003639772,0.004807926345738284,1.0951964903785516
5.008480879487008,0.02069296750172045,0.004777878651654199,1.0952531760152253
5.009281816090065,0.00914307522657043,0.005083710291434009,1.095312987023147
5.010082745068965,0.009139150478020275,0.005083710291434009,1.0953758308155794
5.010883666444226,0.02777820264700548,0.005083710291434009,1.095446092295464
5.011684580236359,0.04410467140916796,0.004777878651654199,1.0955016347956215
5.012485486465883,0.08398440371768023,0.005083710291434009,1.0955202796080383
5.013286385153312,0.0902740144946379,0.005083710291434009,1.0955378495249946
5.014087276319162,0.08531660286036624,0.004777878651654199,1.0955543582330507
5.014888159983948,0.2231529831796073,0.004777878651654199,1.095569819373671
5.015689036168186,0.39928465926769974,0.004777878651654199,1.0955842465432177
5.01648990489239,0.2548219231049149,0.004777878651654199,1.0955976532929588
5.017290766177078,0.09894061611028859,0.004777878651654199,1.0956100531290622
5.018091620042764,0.1624527961800708,0.005083710291434009,1.0956214595126001
5.018892466509962,0.23439576133846862,0.005365436799376266,1.0956318858595486
5.019693305599191,0.20642750086146,0.005365436799376266,1.0956413455407885
5.020494137330962,0.17389450829137187,0.005365436799376266,1.095649851882105
5.021294961725794,0.12522599048236427,0.005365436799376266,1.0956607439457413
5.022095778804202,0.04581365071089172,0.005365436799376266,1.0956739610498916
5.0228965885867,0.02478756465800669,0.005365436799376266,1.0956894427957344
5.023697391093804,0.05556242811343459,0.005365436799376266,1.0957071290674292
5.02449818634603,0.09960959033286554,0.005843411567370311,1.0957269600321147
5.025298974363892,0.08765365080398468,0.005843411567370311,1.0957488761399043
5.026099755167908,0.0648135115220827,0.005843411567370311,1.0957728181238866
5.026900528778592,0.11373564015809334,0.005843411567370311,1.0957987270001204
5.027701295216459,0.3338756185156162,0.005843411567370311,1.0958227043274793
5.028502054502025,0.3831816194444839,0.005843411567370311,1.0958447770275959
5.029302806655805,0.25932769545447076,0.005843411567370311,1.0958649719263096
5.030103551698315,0.19764468411137925,0.005854722658976777,1.0958833157536643
5.030904289650071,0.1537433093275724,0.005854722658976777,1.0958998351439109
5.031705020531587,0.08223888199011409,0.005196048231003265,1.095914556635506
5.032505744363379,0.043295704676598934,0.005069388377248672,1.0959275066711156
5.033306461165964,0.03434658073958219,0.005069388377248672,1.095938711597617
5.034107170959855,0.027285104546951988,0.0048075233665848295,1.095948197666094
5.034907873765569,0.03539151448392053,0.0048075233665848295,1.0959559910318466
5.035708569603621,0.0645053975962031,0.0048075233665848295,1.0959621177543823
5.036509258494526,0.059774371769871104,0.005069388377248672,1.0959666037974245
5.0373099404588,0.01670892602958829,0.0048075233665848295,1.0959694750289108
5.038110615516959,0.016153443955173596,0.005069388377248672,1.095970757220995
5.038911283689518,0.08407858908520494,0.005196048231003265,1.0959704760500446
5.039711944996991,0.16584511618748854,0.005069388377248672,1.0959686570966447
5.0405125994598965,0.35022974989348765,0.005069388377248672,1.095965325845601
5.041313247098747,0.3126911679981599,0.005069388377248672,1.0959605076859371
5.042113887934059,0.16904676482015968,0.005069388377248672,1.095954227910895
5.04291452198635,0.1596263161279401,0.005069388377248672,1.0959470505448945
5.043715149276132,0.0991861453438656,0.005069388377248672,1.0959390125123254
5.0445157698239225,0.06302216308752406,0.0048075233665848295,1.0959301506938957
5.045316383650236,0.05897355808710225,0.0048075233665848295,1.0959199007441547
5.046116990775589,0.05477178246942582,0.0048075233665848295,1.0959097225309347
5.046917591220496,0.10558919135720402,0.005069388377248672,1.0958996076341674
5.047718185005474,0.13506567942911984,0.005069388377248672,1.095890983935424
5.048518772151036,0.05995090074991949,0.005183894156633504,1.0958838111738267
5.049319352677699,0.0016267766441502296,0.004484412663838995,1.0958900885267049
5.050119926605979,-0.013555622182088056,0.005106050269174831,1.0958878046243468
5.05092049395639,-0.010362624531610631,0.004484412663838995,1.095877135730876
5.051721054749449,0.017139921426441607,0.004427462318257211,1.0958662270488266
5.0525216090056695,0.14499672044292744,0.004427462318257211,1.0958550761753538
5.053322156745569,0.3535983773820801,0.004427462318257211,1.0958436807219587
5.054122697989661,0.2957286733514164,0.004427462318257211,1.0958320383144844
5.054923232758463,0.21263087310626716,0.004427462318257211,1.095820146593115
5.055723761072489,0.1186750272405972,0.004809305400695053,1.095809995628447
5.056524282952255,0.03395427687988639,0.004809305400695053,1.095801492560256
5.057324798418276,-0.0031665069513664434,0.004809305400695053,1.0957945899730674
5.058125307491068,0.021406598482492267,0.004809305400695053,1.0957838546698377
5.0589258101911465,0.07835191282335119,0.004809305400695053,1.0957693593481383
5.0597263065390266,0.0944873065424714,0.004809305400695053,1.0957547176376714
5.060526796555224,0.04367925523879346,0.004809305400695053,1.0957399228842937
5.061327280260254,0.02350981686134923,0.004427462318257211,1.0957249684582917
5.062127757674632,0.04554062747419185,0.004809305400695053,1.0957098477543903
5.0629282288188735,0.05652508905012943,0.004809305400695053,1.0956945541917462
5.063728693713494,0.03333380222425664,0.004427462318257211,1.095679081213949
5.064529152379009,0.04324989433377113,0.004427462318257211,1.0956619422407627
5.0653296048359335,0.13171656788407105,0.004427462318257211,1.0956430982890553
5.066130051104784,0.34656602732102093,0.004427462318257211,1.0956225102570196
5.066930491206075,0.34363476355832256,0.004427462318257211,1.0956045654553217
5.067730925160322,0.18336351804821804,0.004427462318257211,1.0955891261690676
5.068531352988041,0.05042913194384191,0.004427462318257211,1.095576055001194
5.069331774709747,0.009155800653988688,0.004427462318257211,1.0955652148724648
5.070132190345956,0.022429927139262285,0.004464312751948245,1.0955497900092694
5.070932599917183,0.04906378066578654,0.004535123367586099,1.095532998565556
5.071733003443944,0.04038832255211022,0.004535123367586099,1.0955149225424012
5.072533400946753,0.001611544922141217,0.004535123367586099,1.095495643910086
5.073333792446126,-0.0190420273329861,0.004464312751948245,1.0954752446081009
5.074134177962581,-0.024666910419415045,0.004464312751948245,1.0954538065451445
5.07493455751663,-0.008360647224059603,0.004427462318257211,1.0954314115991364
5.07573493112879,0.024138456389604768,0.004427462318257211,1.0954064694576096
5.076535298819576,0.031678806800261805,0.004464312751948245,1.0953790252453919
5.077335660609505,0.045307540734042195,0.004464312751948245,1.095349123894843
5.07813601651909,0.11328176984976257,0.004464312751948245,1.0953168101458535
5.078936366568848,0.27233005608271843,0.004464312751948245,1.0952821285458492
5.079736710779294,0.4068529033209234,0.004464312751948245,1.0952470302227126
